id;bearer;question;tu_question;fr_question;es_question;jp_question;ko_question;sc_question;tc_question;de_question;ru_question;it_question;bp_question;override_yes;tu_override_yes;fr_override_yes;es_override_yes;jp_override_yes;ko_override_yes;sc_override_yes;tc_override_yes;de_override_yes;ru_override_yes;it_override_yes;bp_override_yes;answer_yes;tu_answer_yes;fr_answer_yes;es_answer_yes;jp_answer_yes;ko_answer_yes;sc_answer_yes;tc_answer_yes;de_answer_yes;ru_answer_yes;it_answer_yes;bp_answer_yes;override_no;tu_override_no;fr_override_no;es_override_no;jp_override_no;ko_override_no;sc_override_no;tc_override_no;de_override_no;ru_override_no;it_override_no;bp_override_no;answer_no;tu_answer_no;fr_answer_no;es_answer_no;jp_answer_no;ko_answer_no;sc_answer_no;tc_answer_no;de_answer_no;ru_answer_no;it_answer_no;bp_answer_no;vide
541;homunculus;I'm the closest any being could be to a pure spirit. A perfect mind because of an impossibly weak body.;Benim kadar saf ruha yakın başka bir varlık yoktur. İnanılmaz güçsüz bir beden yüzünden mükemmel bir zihin.;Je suis l'entité la plus proche de ce que pourrait être un "pur esprit". Une conscience parfaite à cause d'un corps imparfait.;Soy lo más parecido a un espíritu puro. Una conciencia perfecta consecuencia de un cuerpo imperfecto.;そうだ。この世に存在するあらゆるものと+比較して、俺は純然たる魂に最も近い存在。+普通ならありえぬほど肉体がもろいからこそ、+俺の魂は完ぺきなのだ。;그래. 세상에 존재하는 모든 것으로 비교하면  나는 단순한 영혼에 가장 가까운 존재야.  육체가 아주 쇠약하기 때문에 내 영혼은 완벽해.;我在世间万物当中，最为接近纯粹精神。+是因肉体极度虚弱而涌现出的完美思想。;我在世間萬物當中，最為接近純粹精神。+是因肉體極度虛弱而湧現出的完美思想。;Näher kann ein Wesen einem reinen Geist nicht kommen. Ein klarer Verstand wegen eines schwächlichen Körpers.;Я ближе, чем кто бы то ни был, к чистоте духа. Мой дух совершенен, благодаря невозможно слабому телу.;Sono quanto di più simile a uno spirito puro un essere vivente potrà mai aspirare a essere. Una mente perfetta grazie a un corpo impossibilmente debole.;Sou o que há de mais próximo de um espírito puro. Uma mente perfeita sem o fardo de um corpo fraco.;It does make sense;Aslında mantıklı;Je comprends;Entiendo;なるほど、一理ある;과연, 일리 있군.;确实有道理;確實有道理;Das ergibt Sinn;Это логично;Ha senso;Faz sentido;;;;;;;;;;;;;It doesn't make sense;Mantıklı durmuyor;Je ne comprends pas;No lo entiendo;意味がわからぬ;무슨 소리인가.;这不可能;這不可能;Das ergibt keinen Sinn;Это не имеет смысла;Non ha alcun senso;Não faz sentido;;;;;;;;;;;;;
542;homunculus;Does it? I question the very fabric of your reality and it doesn't bother you?;Öyle mi? Gerçekliğinin temelini sorguluyorum ve bu seni rahatsız etmiyor mu?;Vraiment ? J'interroge le tissu même de votre réalité et ça ne vous dérange pas plus que ça ?;¿En serio? ¿Yo cuestiono el tejido mismo de vuestra identidad y no os molesta en absoluto?;そうか？俺はお前が生きる世界のことわりを+揺るがしかねない存在なのだぞ？+不安を感じないのか？;그래? 난 네가 사는 세계의 근간을 뒤흔들 수도 있는 존재인데  상관 없다고? 불안하지 않아?;真的吗？+我对构成你所处现实的基石抱有怀疑，+这难道不会让你感到烦扰吗？;真的嗎？+我對構成你所處現實的基石抱有懷疑，+這難道不會讓你感到煩擾嗎？;Wirklich? Ich stelle die Grundbestandteile Eurer Realität in Frage, und das beunruhigt Euch nicht?;Правда? Я сомневаюсь в самой материи вашей реальности, а тебя это не интересует?;Davvero? Io metto in discussione la materia stessa della Vostra realtà e la cosa non vi disturba?;Faz? Eu questiono o sentido da sua realidade e isso não lhe incomoda?;Yes it does;Evet ediyor;Si;Sí;感じる;조금은 그렇네.;这的确困扰着我;這的確困擾著我;Doch;Интересует;Sì;Incomoda;;;;;;;;;;;;;No it doesn't;Hayır etmiyor;Non;No;感じぬ;그렇지 않네만.;这并不困扰我;這並不困擾我;Nein;Нет, не интересует;No;Não incomoda;;;;;;;;;;;;;
543;homunculus;What does? Your Kingdom? Your power? Your choices?;Ne rahatsız eder? Krallığın mı? Gücün mü? Kararların mı?;Qu'est ce qui vous dérange ? Votre royaume ? Votre pouvoir ? Vos choix ?;¿Qué es lo que os molesta? ¿Vuestro reino? ¿Vuestro poder? ¿Vuestras elecciones?;お前は、何に不安を感じる？+お前の国か？お前の権力か？+それとも、お前が取る選択か？;너는 무엇이 불안하지? 너의 나라야? 너의 권력? 아니면 너의 선택?;什么让你变成这样？+你的王国？你的权利？+还是你的选择？;什麼讓你變成這樣？+你的王國？你的權利？+還是你的選擇？;Was denn sonst? Euer Königreich? Eure Macht? Eure Entscheidungen?;А что имеет смысл? Ваше Королевство? Ваша власть? Ваши решения?;Che cosa allora? Il Vostro Regno? Il Vostro potere? Le Vostre scelte?;O que lhe incomoda? Seu reino? Seu poder? Suas escolhas?;But they are mine;Yine de hepsi benim;Mais ils m'appartiennent;Pero si son míos;それらはすべて、+余の思いのままだ;하지만 그 모두가 짐의 마음대로다.;但它们都属于我;但它們都屬於我;Das alles ist immerhin mein;Но они же мои;Ma mi appartengono;Mas são meus;;;;;;;;;;;;;I don't know;Bilmiyorum;Je ne sais pas;No lo sé;わからぬ;모른다.;我不知道;我不知道;Ich weiß nicht;Я не знаю;Non lo so;Não sei;;;;;;;;;;;;;
544;dog;Wouf! Wifwifwif! Wouf!;Hav! Havhavhav! Hav!;Ouaf ! ouifouifouif ! Ouf !;¡Guau! ¡Guauuuuu! ¡Guau!;ワン！ウ～！ワンワン！;왕! 왕왕! 멍멍!;汪！呜呜呜！汪！;汪！嗚嗚嗚！汪！;Wuff! Wifwifwif! Wuff!;Гав! Тяф-тяф-тяф! Гав!;Wof! Wofwofwof! Wof!;Au! Au, au!;I agree;Bence de;Je suis d'accord;Estoy de acuerdo;うむ、そうだな;그래, 알았어.;我同意;我同意;Einverstanden;Согласен;Sono d'accordo;Concordo;;;;;;;;;;;;;Sit!;Otur!;Assis !;¡Sienta!;お座り！;앉아!;坐下！;坐下！;Sitz!;Сидеть!;Seduto!;Senta!;;;;;;;;;;;;;
545;dog;Waouf! waouf! <i>(<dog> invites you to follow him)</i>;Hav! Hav! <i>(<dog> onu takip etmenizi istiyor)</i>;Ouaouf ! Ouaouf ! <i>(<dog> vous invite à le suivre)</i>;¡Guau! ¡Guauuu! <i>(<dog> os invita a seguirle)</i>;ウワン！ウワン！+<i>（<dog>は王についてきてほしいようだ）</i>;왈! 왈! <i>(<dog>은(는) 왕에게 따라오라는 것 같다.)</i>;汪！汪！+<i>（<dog>邀请你跟着它）</i>;汪！汪！+<i>（<dog>邀請你跟著它）</i>;Wuff! Wuff! <i>(<dog> möchte, dass Ihr ihm folgt)</i>;Гав! Гав! <i>(<dog> зовет пойти за собой)</i>;Waf! Waf! <i>(<dog> Vi invita a seguirlo)</i>;Au! Au! <i>(<dog> quer que você o siga)</i>;All right, all right;Tamam, tamam;D'accord, d'accord;Vale, vale;よしよし、わかった…;그래, 그래, 알았어...;行行行;行行行;Also gut, also gut;Хорошо, хорошо…;Va bene, va bene;Tudo bem, calma;;;;;;;;;;;;;Sit!;Otur!;Assis !;¡Sienta!;お座り！;앉아!;坐下！;坐下！;Sitz!;Сидеть!;Seduto!;Senta!;;;;;;;;;;;;;
546;dog;Grrrr.. Waouf! <i>(<dog> brings you to the forest)</i>;Hrrr... Hav! <i>(<dog> sizi ormana getiriyor)</i>;Grrr.. Ouaouf ! <i>(<dog> vous amène dans la forêt)</i>;¡Guau! <i>(<dog> os invita a seguirle</i>;ウ～…ウワンッ！<i>+（<dog>は森に入ろうとしている）</i>;왕... 왕! <i>(<dog>은(는) 숲에 들어가려 한다.)</i>;咕嗷……汪！+<i>（<dog>把你带进了森林）</i>;咕嗷……汪！+<i>（<dog>把你帶進了森林）</i>;Grrrr ... Wuff! <i>(<dog> bringt Euch in den Wald)</i>;Гр-р-р-р… Гав! <i>(<dog> ведет вас в лес)</i>;Grrrr… Waf! <i>(<dog> Vi porta nella foresta)</i>;Grrr... Au! <i>(<dog> leva você à floresta)</i>;Be nice!;Yaramazlık yok!;Sois gentil !;¡Sé bueno!;いい子にしなさい！;얌전히 굴어!;听话！;聽話！;Sei brav!;Будь послушным!;Sii bravo!;Calma!;;;;;;;;;;;;;No, not there!;Hayır, orası olmaz!;Non, pas ici !;¡No, aquí no!;そっちはダメだ！;그쪽은 안 돼!;不，不是那里！;不，不是那裏！;Nein, nicht hierhin!;Нет, не сюда!;No, non qui!;Aí não!;;;;;;;;;;;;;
547;dog;Waf... Gnn... Waf <i>(<dog> stops in front a bright orange mushroom)</i>;Hav... Hrr... Hav <i>(<dog> açık turuncu bir mantarın önünde duruyor)</i>;Ouaf... Gnnnr... Ouaf <i>(<dog> s'arrête devant un magnifique champignon orange)</i>;Guau... Grrrr... Guau <i>(<dog> se para delante de un magnífico champiñón naranja)</i>;ワフワフ…クゥン…ワン！<i>+（<dog>は、鮮やかなだいだい色をした+キノコの前で立ち止まった）</i>;킁킁킁... 왕! 왕! <i>(<dog>은(는) 밝은 주황색 버섯 앞에서 멈춰 섰다.)</i>;汪……呜嗯……汪+<i>（<dog>停在了一个亮橙色的蘑菇前）</i>;汪……嗚嗯……汪+<i>（<dog>停在了一個亮橙色的蘑菇前）</i>;Waff ... Gnn ... Waff <i>(<dog> bleibt vor einem leuchtend orangefarbenen Pilz stehen)</i>;Гав… Гр-р… Гав <i>(<dog> останавливается перед ярким оранжевым грибом)</i>;Waf… Gnn… Waf <i>(<dog> si ferma davanti a un fungo di un brillante arancione)</i>;Au... Grrr... Au <i>(<dog> para na frente de um cogumelo laranja)</i>;<i>Eat the mushroom</i>;<i>Mantarı yiyin</i>;<i>Manger le champignon</i>;<i>Comer el champiñón</i>;<i>（キノコを食べる）</i>;<i>버섯을 먹는다.</i>;<i>（吃下蘑菇）</i>;<i>（吃下蘑菇）</i>;<i>Den Pilz essen</i>;<i>Съесть гриб</i>;<i>Mangiare il fungo</i>;<i>Comer o cogumelo</i>;;;;;;;;;;;;;<i>Go back to the castle</i>;<i>Kaleye geri dönün</i>;<i>Rentrer au château</i>;<i>Volver al castillo</i>;<i>（城に戻る）</i>;<i>성으로 돌아간다.</i>;<i>（返回城堡）</i>;<i>（返回城堡）</i>;<i>Zur Burg zurückkehren</i>;<i>Вернуться в замок</i>;<i>Tornare al castello</i>;<i>Voltar para o castelo</i>;;;;;;;;;;;;;
548;dog;Rwaouuw Grouf! <i>(<dog> wants to play)</i>;Havvvvvv hev! <i>(<dog> oyun oynamak istiyor)</i>;Rouaouuuf ! Grrrouf ! <i>(<dog> veut jouer)</i>;¡Guau! ¡Grrrr! <i>(<dog> quiere jugar)</i>;ワオオオォンン！<i>+（<dog>は遊んでほしいようだ）</i>;와오오오옹! <i>(<dog>은(는) 놀아주길 원하는 모양이다.)</i>;嗷呜呜呜，汪！+<i>（<dog>想要玩耍）</i>;嗷嗚嗚嗚，汪！+<i>（<dog>想要玩耍）</i>;Rwauu grwuff! <i>(<dog> möchte spielen)</i>;Р-р-р-а-а-у-у-у гав! <i>(<dog> хочет поиграть)</i>;Rwauu Gruf! <i>(<dog> vuole giocare)</i>;Auuuuu... Au! <i>(<dog> quer brincar)</i>;Here, take that!;Getir hadi!;Ici, attrape !;¡Aquí, toma!;そら、取ってこい！;그래, 가지고 와라!;接住！;接住！;Hier, hol das!;Вот, лови!;Ecco, prendi!;Vá pegar!;;;;;;;;;;;;;No, not that!;Hayır, olmaz!;Non, pas ça !;¡No, éso no!;ダメだ！;안 돼!;不要！;不要！;Nein, nicht das!;Нет, не это!;No, questo no!;Não! Não isso!;;;;;;;;;;;;;
549;dog;Braof! Grrrrrrrrrr <i>(<dog> brings you to a forgotten part of the dungeon)</i>;Hev! Hrrrrrrrrrr <i>(<dog> sizi zindanın unutulmuş bir kısmına getiriyor)</i>;Brrrouaf ! Grrrrrrrrrrr <i>(<dog> vous conduit dans une partie oubliée du donjon)</i>;¡Guau! Grrrrr <i>(<dog> os conduce a una parte recóndita de la mazmorra)</i>;バウッ！ガルルルルルル…<i>+（<dog>は王を、+地下牢の忘れ去られた奥部へと導いた）</i>;왕! 으르르르르릉...  <i>(<dog>은(는) 왕을 지하감옥의 잊혀진 안쪽 부분으로 이끈다.)</i>;嗷呜！咕嗷嗷嗷+<i>（<dog>把你带到地下城中一处被遗忘的地方）</i>;嗷嗚！咕嗷嗷嗷+<i>（<dog>把你帶到地下城中一處被遺忘的地方）</i>;Rrwau! Grrrrrrrrrr <i>(<dog> bringt Euch in einen vergessenen Teil des Verlieses)</i>;Гр-р-ваф! Гр-р-р-р-р-р-р <i>(<dog> ведет вас в заброшенную часть подземелья)</i>;Braof! Grrrrrrrr <i>(<dog>Vi porta in un'area dimenticata della prigione)</i>;Au! Grrrr... <i>(<dog> leva você a uma parte esquecida da masmorra)</i>;<i>Explore further</i>;<i>Daha fazla ilerleyin</i>;<i>Descendre plus bas</i>;<i>Seguir bajando</i>;<i>（奥へ進む）</i>;<i>안쪽으로 나아간다.</i>;<i>（探索更深处）</i>;<i>（探索更深處）</i>;<i>Weiter erkunden</i>;<i>Продвигаться дальше</i>;<i>Scendere di più</i>;<i>Explorar</i>;;;;;;;;;;;;;No, not there!;Hayır, orası olmaz!;Non, pas ici !;¡No, aquí no!;そっちはダメだ！;그쪽은 안 돼!;不，不是那里！;不，不是那裏！;Nein, nicht hierhin!;Нет, не сюда!;No, non qui!;Aí não!;;;;;;;;;;;;;
550;dog;Warf! Warf! <i>(<dog> runs around the castle and brings you back to the throne room)</i>;Hev! Hev! <i>(<dog> kalenin çevresinde dört dönüp sizi yeniden taht odasına getiriyor)</i>;Ouaf Ouaf ! <i>(<dog> court autour du château et vous ramène à la salle du trône)</i>;¡Guau, guau! <i>(<dog> corre alrededor del castillo y os lleva a la sala del trono)</i>;ワンッ！ワンッ！<i>+（<dog>は城のまわりを一周し、+謁見の間に戻ってきた）</i>;왕! 왕! <i>(<dog>은(는) 성 주위를 한 바퀴 돌고 알현실로 돌아왔다.)</i>;汪汪！汪！+<i>（<dog>在城堡附近跑了一会儿，+又将你带回了王座室）</i>;汪汪！汪！+<i>（<dog>在城堡附近跑了一會兒，+又將你帶回了王座室）</i>;Warf! Warf! <i>(<dog> läuft um die Burg herum und bringt Euch in den Thronsaal zurück)</i>;Гаф! Гаф! <i>(<dog> бежит вокруг замка и приводит вас назад в тронный зал)</i>;Warf! Warf! <i>(<dog> corre per il castello e Vi riporta nella sala del trono)</i>;Au! Au! <i>(<dog> corre pelo castelo e leva você de volta à sala do trono)</i>;Sit!;Otur!;Assis !;¡Sienta!;お座り！;앉아!;坐下！;坐下！;Sitz!;Сидеть!;Seduto!;Senta!;;;;;;;;;;;;;No, not there!;Hayır, orası olmaz!;Non, pas ici !;¡No, aquí no!;そっちはダメだ！;그쪽은 안 돼!;不，不是那里！;不，不是那裏！;Nein, nicht hierhin!;Нет, не сюда!;No, non qui!;Aí não!;;;;;;;;;;;;;
551;dog;Wof! Grrrr... <i>(<dog> brings you to a lonely caravan in the marketplace)</i>;Hav! Hrrr... <i>(<dog> sizi pazar alanında ıssız bir kervana getiriyor)</i>;Ouf ! Grrrrr.... <i>(<dog> vous conduit à une caravane isolée sur la place du marché)</i>;Grrrrr ¡Guau! <i>(<dog> os lleva hasta una caravana olvidada en la plaza del mercado)</i>;ワンッ！グルルルル…<i>+（<dog>は王を、+市場の一角にある寂しげな洞窟へと導いた）</i>;왕! 그르르르릉...  <i>(<dog>은(는) 왕을 시장 구석에 있는 쓸쓸한 동굴로 이끌었다.)</i>;汪！咕嗷……+<i>（<dog>把你带到市场上一个孤零零的篷车旁）</i>;汪！咕嗷……+<i>（<dog>把你帶到市場上一個孤零零的篷車旁）</i>;Woff! Grrrr ... <i>(<dog> bringt Euch zu einem einsamen Wohnwagen auf dem Marktplatz)</i>;Вуф! Гр-р-р… <i>(<dog> приводит вас к одинокой повозке на рыночной площади)</i>;Wof! Grrrr… <i>(<dog>Vi porta nei pressi di una carovana isolata nella piazza del mercato)</i>;Au! Grrr... <i>(<dog> leva você até um vagão solitário no mercado)</i>;<i>Enter the caravan</i>;<i>Kervana girin</i>;<i>Entrer dans la caravane</i>;<i>Entrar en la caravana</i>;<i>（洞窟に入る）</i>;<i>동굴에 들어간다.</i>;<i>（进入大篷车）</i>;<i>（進入大篷車）</i>;<i>Den Wagen betreten</i>;<i>Войти в фургон</i>;<i>Entra nella carovana</i>;<i>Entrar no vagão</i>;;;;;;;;;;;;;No, not there!;Hayır, orası olmaz!;Non, pas ici !;¡No, aquí no!;そっちはダメだ！;그쪽은 안 돼!;不，不是那里！;不，不是那裏！;Nein, nicht hierhin!;Нет, не сюда!;No, non qui!;Aí não!;;;;;;;;;;;;;
552;dog;Wawaufff! Waf! <i>(<dog> brings back the ball)</i>;Hevhevhev! Hev! <i>(<dog> topu geri getiriyor)</i>;OuaOuaoufff ! Ouaf ! <i>(<dog> rapporte la balle)</i>;¡Guau! ¡Guau! <i>(<dog> os trae la pelota)</i>;ワンワンワン！ワン！<i>+（<dog>はボールをくわえて戻ってきた）</i>;멍멍! 왕! <i>(<dog>은(는) 공을 물고 돌아왔다.)</i>;汪汪！汪！+<i>（<dog>把球叼了回来）</i>;汪汪！汪！+<i>（<dog>把球叼了回來）</i>;Wawafff! Waff! <i>(<dog> bringt den Ball zurück)</i>;Гав! Вуф! <i>(<dog> приносит назад мячик)</i>;Wawaufff! Waf! <i>(<dog> riporta indietro la palla)</i>;Auuuu, au! Au! <i>(<dog> traz a bola de volta)</i>;Again?;Yine mi?;Encore ?;¿Otra vez?;もう一度か？;다시 한 번?;又来？;又來？;Nochmal?;Опять?;Ancora?;De novo?;;;;;;;;;;;;;Enough!;Yeter!;Assez !;¡Basta!;もうやめだ！;이제 그만 둬!;够了！;夠了！;Genug!;Хватит!;Basta così!;Chega!;;;;;;;;;;;;;
553;dog;Waufff! <i>(<dog> brings back a mysterious letter)</i>;Hevvv! <i>(<dog> gizemli bir mektup getiriyor)</i>;Ouaff ! <i>(<dog> ramène une lettre mystérieuse)</i>;¡Guau! <i>(<dog> os trae una carta misteriosa)</i>;ウワンッ！+<i>（<dog>は謎の手紙をくわえている）</i>;왕왕! <i>(<dog>은(는) 수수께끼의 편지를 물고 왔다.)</i>;汪！+<i>（<dog>带回一封神秘的信件）</i>;汪！+<i>（<dog>帶回一封神秘的信件）</i>;Wafff! <i>(<dog> bringt einen geheimnisvollen Brief zurück)</i>;Ву-у-ф-ф! <i>(<dog> приносит загадочное письмо)</i>;Waufff! <i>(<dog> porta indietro una misteriosa lettera)</i>;Auuuu! <i>(<dog> traz uma carta misteriosa)</i>;<i>Read it</i>;<i>Okuyun</i>;<i>Lire</i>;<i>Leer</i>;<i>（読む）</i>;<i>읽는다.</i>;<i>（读那封信）</i>;<i>（讀那封信）</i>;<i>Ihn lesen</i>;<i>Прочитать</i>;<i>Leggere</i>;<i>Ler</i>;<i>It says: Whatever you hear, the Senator is not your enemy. Signed: P.</i>;<i>Şöyle yazıyor: Ne duyarsanız duyun, Senatör düşmanınız değildir. İmza: P.</i>;<i>Il est écrit: Quoi que vous entendiez, le Sénateur n'est pas votre ennemi. Signé: P.</i>;<i>Está escrito: Oigáis lo que oigáis, el senador no es vuestro enemigo. Firmado: P.</i>;<i>手紙にはこう記されている…+「陛下がなにを耳にされようと、真実はひとつ。+元老院議員は陛下の敵にあらず。Pより」</i>;<i>편지에는 이렇게 적혀 있다... "폐하가 무엇을 들으시든 진실은 하나입니다. 원로원 의원은 폐하의 적이 아닙니다. P로부터."</i>;<i>（上面写道：+无论你听到了什么传闻，+参议员绝对不是你的敌人。签名：P）</i>;<i>（上面寫道：+無論你聽到了什麼傳聞，+參議員絕對不是你的敵人。簽名：P）</i>;<i>Darin steht: Was Ihr auch hört, der Senator ist nicht Euer Feind. Gezeichnet: P.</i>;<i>Написано: «Неважно, что говорят, Сенатор тебе не враг». Подпись: П.</i>;<i>Dice: Qualsiasi cosa sentiate dire, il Senatore non è Vostro nemico. Firmato: P.</i>;<i>Ela diz: O que quer que você ouça, o Senador não é seu inimigo. Assinado: P.</i>;<i>Leave it</i>;<i>Dokunma</i>;<i>Laisser</i>;<i>Dejar</i>;<i>（読まない）</i>;<i>읽지 않는다.</i>;<i>（把信放在那里）</i>;<i>（把信放在那裏）</i>;<i>Ihn liegen lassen</i>;<i>Оставить его</i>;<i>Lasciare lì</i>;<i>Deixá-la</i>;;;;;;;;;;;;;
554;black_bird;<i>The message says: A small village in the Eastern baronies created a golem.</i>;<i>Mesajda şöyle yazıyor: Doğu baronluklarındaki küçük bir köyde bir golem yaratmışlar.</i>;<i>Le message dit: Un petit village dans les baronies de l'Est a réussi à créer un golem.</i>;<i>El mensaje dice: un pueblo pequeño en el condado del Este ha conseguido crear un golem.</i>;<i>文にはこう記されている…+「東部の小さな村の住民が、ゴーレムを創った」</i>;<i>이런 문장이 적혀 있다.  "동쪽 작은 마을의 주민들이 골렘을 만들었다."</i>;<i>信上写道：+东部众男爵领管辖的一个小村庄在制造魔像。</i>;<i>信上寫道：+東部眾男爵領管轄的一個小村莊在製造魔像。</i>;<i>Die Nachricht lautet: Ein kleines Dorf in den Baronien des Ostens hat einen Golem erschaffen.</i>;<i>В сообщении говорится: «В маленькой деревушке в Восточных баронствах создали голема».</i>;<i>Il messaggio dice: Un piccolo villaggio nelle baronie orientali ha creato un golem.</i>;<i>A mensagem diz: Uma pequena aldeia nos territórios do leste criou um golem.</i>;General!;General!;Général !;¡General!;兵を派遣せよ！;병력을 파견하라!;将军！;將軍！;General!;Генерал!;Generale!;General!;;;;;;;;;;;;;No way;Yok artık;Pas possible;No puede ser;ありえん…;말도 안 돼...;没门;沒門;Unmöglich;Быть того не может;Impossibile;Impossível;;;;;;;;;;;;;
555;black_bird;<i>The message says: We have reports of a dragon spreading destruction in the mountains.</i>;<i>Mesajda şöyle yazıyor: Dağlarda yıkıma sebep olan bir ejderhaya dair raporlar aldık.</i>;<i>Le message dit: Il paraît qu'un dragon est en train de faire des ravages dans les montagnes.</i>;<i>El mensaje dice: según los rumores, un dragón destruye todo a su paso por las montañas.</i>;<i>文にはこう記されている…+「山岳地帯でドラゴンの襲撃による被害が+拡大との報告あり」</i>;<i>이런 문장이 적혀 있다.  "산악지대에서 드래곤의 습격으로 인한 피해 확대가 보고되었다."</i>;<i>信上写道：+我们收到龙在山区大肆破坏的报告。</i>;<i>信上寫道：+我們收到龍在山區大肆破壞的報告。</i>;<i>Die Nachricht lautet: Es gibt Berichte, dass ein Drache in den Bergen Zerstörung anrichtet.</i>;<i>В сообщении говорится: «Нам докладывают о драконе, разбушевавшемся в горах».</i>;<i>Il messaggio dice: Abbiamo notizie di un drago che semina distruzione nelle montagne.</i>;<i>A mensagem diz: Temos notícias de um dragão espalhando destruição nas montanhas.</i>;General!;General!;Général !;¡General!;兵を派遣せよ！;병력을 파견하라!;将军！;將軍！;General!;Генерал!;Generale!;General!;;;;;;;;;;;;;That's crap;Saçmalık;Je n'en crois pas un mot;No me creo ni una palabra;たわごとだ;말도 안 되는 소리다.;简直胡说八道;簡直胡說八道;So ein Blödsinn;Чушь собачья;Fesserie;Mentira;;;;;;;;;;;;;
556;black_bird;<i>The message says: A kraken has been seen on the shores of the Kingdom. Fishermen are terrified.</i>;<i>Mesajda şöyle yazıyor: Krallığın kıyılarında bir kraken görülmüş. Balıkçılar korku içinde.</i>;<i>Le message dit: Un kraken a été vu au large de plusieurs villages du Nord. Les pêcheurs sont terrorisés.</i>;<i>El mensaje dice: un kraken ha sido avistado en los pueblos del Norte. Los pescadores están aterrorizados.</i>;<i>文にはこう記されている…+「王国領の海岸でクラーケンが目撃され、+漁師たちはおびえている」</i>;<i>이런 문장이 적혀 있다.  "왕국령 해안에서 크라켄이 목격되어 어부들을 위협하고 있다."</i>;<i>信上写道：+有人在王国海岸看到海怪出没。渔民十分恐慌。</i>;<i>信上寫道：+有人在王國海岸看到海怪出沒。漁民十分恐慌。</i>;<i>Die Nachricht lautet: Ein Krake wurde an den Ufern des Königreichs gesichtet. Die Fischer haben Angst.</i>;<i>В сообщении говорится: «У берегов королевства видели кракена. Рыболовы в ужасе».</i>;<i>Il messaggio dice: Un kraken è stato avvistato sulle coste del Regno. I pescatori sono terrorizzati.</i>;<i>A mensagem diz: Um kraken foi visto na costa do reino. Os pescadores estão aterrorizados.</i>;General!;General!;Général !;¡General!;兵を派遣せよ！;병력을 파견하라!;将军！;將軍！;General!;Генерал!;Generale!;General!;;;;;;;;;;;;;Let's pray;Dua edelim;Prions;Recemos;祈るのだ;기도하세.;我们祈祷吧;我們祈禱吧;Lasst uns beten;Помолимся;Preghiamo;Oremos;;;;;;;;;;;;;
557;fortune_teller;I see the philosopher enclosed in the heart of the crusade.;Kutsal seferin ortasında kapana kısılmış bir filozof görüyorum.;Je vois le philosophe enfermé au cœur de la croisade.;Veo al filósofo encerrado en el corazón de la cruzada.;聖戦の渦中に囚われた、賢者の姿が見えます…;성전 중에 사로잡힌 현자의 모습이 보입니다...;我留意到哲学家那封信件里+满满的圣战之心。;我留意到哲學家那封信件裏+滿滿的聖戰之心。;Ich sehe den Philosophen, eingeschlossen ins Herz des Kreuzzugs.;Я вижу философа в самом сердце крестового похода.;Vedo il filosofo chiuso nel cuore della crociata.;Vejo o filósofo envolvido com o coração da cruzada.;Of course;Elbette;Bien sûr;Sí, claro;そうか;그런가?;当然;當然;Natürlich;Само собой;Naturalmente;É claro;;;;;;;;;;;;;I don't;Ben görmüyorum;Pas moi;Pues yo no;余には見えぬ;내게는 보이지 않아.;我没看到;我沒看到;Ich nicht;А я — нет;Io no;Eu não;;;;;;;;;;;;;
558;fortune_teller;Your wife is secretly in love with someone else.;Eşiniz gizlice bir başkasına aşık.;Votre femme est secrètement amoureuse d'un autre.;Vuestra mujer está enamorada de otro.;王妃様は密かに別の方に想いを寄せています。;왕비님이 다른 분과 사랑에 빠지셨군요.;您的妻子暗地里爱上了别人。;您的妻子暗地裏愛上了別人。;Eure Frau liebt insgeheim einen anderen.;Ваша жена втайне влюблена в кого-то другого.;Vostra moglie è segretamente innamorata di un altro.;Sua esposa está apaixonada por outro.;Who?;Kim?;Qui ?;¿Quién?;誰にだ？;누구랑?;谁？;誰？;Wen?;В кого?;Chi?;Quem?;;;;;;;;;;;;;You lie!;Yalancısın!;Tu mens !;¡Mientes!;うそをつくな！;거짓말하지 마!;你骗人！;你騙人！;Ihr lügt!;Ты лжешь!;Tu menti!;Mentira!;;;;;;;;;;;;;
559;fortune_teller;Fear the black bird. It won't bring any good news.;Kara kuştan korkun. İyi haber getirmeyecek.;Craignez l'oiseau noir. Il ne portera jamais de bonnes nouvelles.;Temed al pájaro negro. Nunca os traerá buenas noticias.;黒歌鳥にはご注意を。+凶報しかもたらしませぬゆえ。;검은 새를 조심하십시오. 나쁜 소식만을 가져옵니다.;畏惧黑鸟吧。+它不会给你带来任何好消息。;畏懼黑鳥吧。+它不會給你帶來任何好消息。;Fürchtet den schwarzen Vogel. Er wird nie gute Neuigkeiten bringen.;Бойтесь черной птицы. Она не принесет хороших вестей.;Temete l'uccello nero. Porterà cattive notizie.;Tema o pássaro negro. Ele não trará boas notícias.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
